Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	stationaryDist[1]	stationaryDist[2]	tree_length
1152	-63.854	-76.66646	12.81247	0.0074943	0.00796095	0.0267872	0.0309204	0.0547342	0.000810413	0.0145613	0.00277343	0.00805351	0.0230671	0.0238962	0.0296575	0.103178	0.0248447	0.0154675	0.0708412	0.0797188	0.6244176	1.375582	0.467753	0.690345	0.890823	1.12256	1.44855	2.13788	0.5493985	2.202984	0.0142812	0.0151705	0.0510459	0.0589222	0.104302	0.00154433	0.0277482	0.00528507	0.0153469	0.0439569	0.0455368	0.0565157	0.196616	0.0473443	0.0294751	0.134996	0.151913	0.687791	0.312209	0.5247663
1188	-64.86598	-76.93091	12.06493	0.00347346	0.0025514	0.0169469	0.0211646	0.0284635	0.0126723	0.00158323	0.0400792	0.0113733	0.0259763	0.021888	0.0105493	0.00920343	0.0326903	0.0061529	0.0974249	0.0262767	0.3647699	1.63523	0.623057	0.793945	0.930543	1.07464	1.25953	1.60499	0.3420966	4.482908	0.00942671	0.0069243	0.0459925	0.0574392	0.0772479	0.0343917	0.00429677	0.108772	0.0308664	0.0704979	0.0594025	0.02863	0.0249774	0.0887191	0.0166985	0.264404	0.071313	0.817615	0.182385	0.3684697
1224	-66.96778	-78.3909	11.42312	0.0332855	0.0221759	0.0498589	0.0804385	0.0592097	0.000112343	0.0165747	0.0443351	0.0391255	0.0629598	0.0619771	0.0682204	0.0466624	0.152269	0.0107138	0.54553	0.0297149	0.3330033	1.666997	0.7587	0.873997	0.958853	1.04291	1.14417	1.31804	0.1996747	5.005946	0.025156	0.0167597	0.0376816	0.0607925	0.0447486	8.49051e-05	0.0125265	0.0335069	0.0295697	0.0475827	0.0468401	0.0515585	0.0352657	0.11508	0.00809708	0.412292	0.0224575	0.833498	0.166502	1.323165
1260	-69.52622	-83.35629	13.83007	0.0653219	0.0111142	0.0218075	0.0371751	0.029675	0.000605397	0.00695132	0.0437478	0.0315201	0.0802504	0.0209298	0.034191	0.00752414	0.0763151	0.00994145	0.120847	0.0217734	1.228074	0.7719263	0.324692	0.577755	0.842691	1.18667	1.73084	3.07984	0.8133645	0.6285668	0.10541	0.0179351	0.035191	0.0599897	0.0478868	0.000976933	0.0112174	0.0705961	0.0508643	0.129501	0.0337746	0.0551743	0.0121418	0.12315	0.0160426	0.195012	0.0351359	0.385963	0.614037	0.619691
1296	-67.07785	-78.18095	11.1031	0.0344682	0.0035673	0.0122629	0.0208362	0.0230967	0.00274837	0.00415788	0.00189673	0.00983909	0.0229457	0.0115725	0.00993047	0.0113394	0.0345457	0.00628187	0.0307804	0.00793695	0.2402965	1.759704	0.540832	0.740993	0.910719	1.09803	1.34954	1.849	0.4444316	7.323051	0.138869	0.0143723	0.0494061	0.0839472	0.0930544	0.0110729	0.0167517	0.00764174	0.0396407	0.0924459	0.0466245	0.0400089	0.0456854	0.139181	0.0253091	0.124011	0.0319772	0.879852	0.120148	0.2482065
1332	-67.30769	-80.03342	12.72573	0.0194746	0.00222514	0.0464074	0.0299157	0.0105419	0.00276488	0.00441041	0.00299472	0.0148949	0.0767723	0.0122754	0.0179638	0.0142827	0.00829443	0.00681331	0.0296107	0.0373567	0.7089968	1.291003	0.334263	0.585999	0.846424	1.18144	1.70649	2.99166	0.7923589	1.820887	0.0577883	0.00660282	0.137708	0.0887709	0.0312817	0.00820442	0.0130873	0.00888645	0.0441988	0.227812	0.0364255	0.0533051	0.0423819	0.0246126	0.0202176	0.0878657	0.110851	0.645502	0.354498	0.3369989
1368	-67.96476	-80.81281	12.84805	0.00228705	0.00182171	0.0492499	0.102883	0.0223686	0.00221937	0.00936478	0.00480158	0.0435334	0.0758788	0.0025033	0.0225427	0.0103285	0.0414998	0.0118809	0.0830306	0.170227	0.5682951	1.431705	0.650036	0.81053	0.936564	1.06773	1.23376	1.53838	0.311446	2.519298	0.00348411	0.00277522	0.0750279	0.156733	0.0340766	0.00338102	0.0142664	0.00731479	0.0663194	0.115595	0.00381355	0.0343418	0.0157346	0.0632213	0.0180996	0.12649	0.259326	0.715852	0.284148	0.6564211
1404	-69.80804	-79.86328	10.05524	0.0393476	0.0219555	0.00836654	0.053981	0.0501153	0.0177892	0.0121666	0.0112132	0.00819132	0.030275	0.0311912	0.0171849	0.0210053	0.0368739	0.00111539	0.145255	0.032014	0.104945	1.895055	0.724835	0.854748	0.952214	1.05018	1.16994	1.37962	0.2326918	18.05759	0.0731311	0.0408063	0.01555	0.100329	0.093144	0.0330629	0.0226127	0.0208408	0.0152243	0.0562689	0.0579717	0.0319398	0.0390403	0.0685337	0.00207305	0.269971	0.059501	0.947527	0.0524725	0.5380414
1440	-74.10013	-84.92744	10.82731	0.0277355	0.0635045	0.0222575	0.0601497	0.0181822	0.00272675	0.0435754	0.0146989	0.01485	0.0198108	0.0216039	0.00286785	0.0265722	0.0638033	0.00994465	0.0582018	0.0694917	0.2886905	1.711309	0.183768	0.437706	0.77278	1.29403	2.28464	5.44164	1.224937	5.927833	0.0513642	0.117606	0.0412193	0.111393	0.0336722	0.00504975	0.0806987	0.0272214	0.0275012	0.0366882	0.0400089	0.00531106	0.0492099	0.118159	0.0184168	0.107786	0.128694	0.855655	0.144345	0.5399767
1476	-67.21834	-80.61519	13.39686	0.0119777	0.0123629	0.0230701	0.0430638	0.0287253	0.0735066	0.0126405	0.00262259	0.00423202	0.0224592	0.00679532	0.0511217	0.0103103	0.0328036	0.00352855	0.0184785	0.0300214	0.8693515	1.130648	0.478623	0.698123	0.893943	1.11864	1.43241	2.08933	0.5327882	1.300565	0.0308926	0.0318861	0.059502	0.111069	0.0740877	0.189587	0.0326021	0.00676412	0.0109151	0.0579264	0.0175263	0.131852	0.0265922	0.0846063	0.00910076	0.0476595	0.0774306	0.565324	0.434676	0.3877201
